Date,Price,Open,Change_in_percent,pe,pb,div_yield_percent
2017-04-26,9351.85,9336.20,0.49,23.75,3.57,1.23
2017-04-25,9306.60,9273.05,0.96,23.64,3.56,1.23
2017-04-24,9217.95,9135.35,1.08,23.41,3.52,1.25
2017-04-21,9119.40,9179.10,-0.19,23.12,3.48,1.26
2017-04-20,9136.40,9108.10,0.36,23.16,3.49,1.26
2017-04-19,9103.50,9112.20,-0.02,23.08,3.47,1.26
2017-04-18,9105.15,9163.00,-0.37,23.08,3.47,1.26
2017-04-17,9139.30,9144.75,-0.13,23.17,3.49,1.26
2017-04-13,9150.80,9202.50,-0.57,23.20,3.49,1.26
2017-04-12,9203.45,9242.50,-0.36,23.33,3.51,1.25
2017-04-11,9237.00,9184.55,0.61,23.42,3.52,1.25
2017-04-10,9181.45,9225.60,-0.18,23.28,3.50,1.25
2017-04-07,9198.30,9223.70,-0.69,23.32,3.51,1.25
2017-04-06,9261.95,9245.80,-0.03,23.48,3.53,1.24
2017-04-05,9265.15,9264.40,0.30,23.49,3.54,1.24
2017-04-03,9237.85,9220.60,0.70,23.42,3.53,1.25
2017-03-31,9173.75,9158.90,0.00,23.26,3.50,1.25
2017-03-30,9173.75,9142.60,0.33,23.82,3.48,1.21
2017-03-29,9143.80,9128.70,0.47,23.74,3.47,1.21
2017-03-28,9100.80,9081.50,0.61,23.63,3.45,1.22
2017-03-27,9045.20,9093.45,-0.69,23.49,3.43,1.23
2017-03-24,9108.00,9104.00,0.24,23.65,3.45,1.22
2017-03-23,9086.30,9048.75,0.62,23.59,3.44,1.22
2017-03-22,9030.45,9047.20,-1.00,23.45,3.42,1.23
2017-03-21,9121.50,9133.95,-0.06,23.68,3.46,1.22
2017-03-20,9126.85,9166.95,-0.36,23.70,3.46,1.22
2017-03-17,9160.05,9207.80,0.07,23.78,3.47,1.21
2017-03-16,9153.70,9129.65,0.76,23.77,3.47,1.21
2017-03-15,9084.80,9086.85,-0.02,23.59,3.44,1.22
2017-03-14,9087.00,9091.65,1.71,23.59,3.44,1.22
2017-03-10,8934.55,8953.70,0.08,23.20,3.39,1.24
2017-03-09,8927.00,8914.50,0.03,23.18,3.38,1.24
2017-03-08,8924.30,8950.70,-0.25,23.17,3.38,1.24
2017-03-07,8946.90,8977.75,-0.18,23.23,3.39,1.24
2017-03-06,8963.45,8915.10,0.74,23.27,3.40,1.24
2017-03-03,8897.55,8883.50,-0.02,23.10,3.37,1.25
2017-03-02,8899.75,8982.85,-0.51,23.11,3.37,1.25
2017-03-01,8945.80,8904.40,0.75,23.30,3.39,1.24
2017-02-28,8879.60,8898.95,-0.19,23.13,3.37,1.25
2017-02-27,8896.70,8943.70,-0.48,23.21,3.37,1.25
2017-02-23,8939.50,8956.40,0.14,23.36,3.39,1.24
2017-02-22,8926.90,8931.60,0.21,23.32,3.38,1.24
2017-02-21,8907.85,8890.75,0.32,23.27,3.38,1.24
2017-02-20,8879.20,8818.55,0.65,23.19,3.37,1.24
2017-02-17,8821.70,8883.70,0.50,23.10,3.34,1.25
2017-02-16,8778.00,8739.00,0.61,23.08,3.33,1.26
2017-02-15,8724.70,8778.95,-0.77,22.84,3.31,1.27
2017-02-14,8792.30,8819.90,-0.14,23.05,3.33,1.26
